,제목,예배,설교자,본문,날짜,교회
251,예루살렘으로 올라가자,주일예배,김삼환 목사 ,마 16:21-28 ,2012-03-25,명성교회
252,"나의 힘, 하나님과의 동행",주일예배,김하나 목사 ,창 5:21-24 ,2012-03-11,명성교회
253,오직 예수님 뿐입니다,주일예배,김삼환 목사 ,"골 1:15-20, 2:2-3 ",2012-02-26,명성교회
254,일어나 기도하라,주일예배,김삼환 목사 ,눅 22:39-46 ,2012-02-12,명성교회
255,예수 그리스도와 함께 사는 삶,주일예배,김삼환 목사 ,갈 2:20 ,2012-01-29,명성교회
256,성도의 능력,주일예배,김삼환 목사 ,고전 2:1 - 5 ,2012-01-15,명성교회
257,하나님만 잘 섬겨라,주일예배,김삼환 목사 ,대상 28:8-9 ,2012-01-01,명성교회
258,에브라다여 노래하라,주일예배,김삼환 목사 ,미 5:1 - 4 ,2011-12-18,명성교회
259,복음의 그물을 던지라,주일예배,김삼환 목사 ,눅 5:1-11 ,2011-12-04,명성교회
260,성도의 위기관리,주일예배,김삼환 목사 ,눅 19:11-17 ,2011-11-20,명성교회
261,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배,김삼환 목사 , ,2011-11-06,명성교회
262,이방인이 드리는 감사,주일예배,김삼환 목사 ,눅 17:11-19 ,2011-10-23,명성교회
263,오직 손에 달려 있습니다,주일예배,김삼환 목사 ,출 17:8 - 16 ,2011-10-09,명성교회
264,나의 능력의 하나님,주일예배,김삼환 목사 ,시 27:1-6 ,2011-09-25,명성교회
265,추수하는 즐거움,주일예배,김삼환 목사 ,사 9: 1-7 ,2011-09-11,명성교회
266,누구나 잘 믿을 수 있습니다,주일예배,김삼환 목사 ,신 30:11-20 ,2011-08-28,명성교회
267,심령에 TOUCH 하십시오,주일예배,김삼환 목사 ,욥 32:8-9 ,2011-08-14,명성교회
268,족장의 길을 따라,주일예배,김삼환 목사 ,히 11:8-12 ,2011-07-31,명성교회
269,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2011-07-17,명성교회
270,"은혜의 길, 31년",주일예배,김삼환 목사 ,대상 29:10-17 ,2011-07-03,명성교회
271,영원하신 그리스도,주일예배,김삼환 목사 ,히 13:8-9 ,2011-06-19,명성교회
272,예배자의 복,주일예배,김삼환 목사 ,행 8:26-40 ,2011-06-05,명성교회
273,지금은 어려운 때입니다,주일예배,김삼환 목사 ,행 2:14-21 ,2011-05-22,명성교회
274,금주에는 목사님의 설교가 없습니다.,주일예배, , ,2011-05-08,명성교회
275,금주에는 '부활절' 관계로 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2011-04-24,명성교회
276,피의 능력,주일예배,김삼환 목사 ,출 12:1-14 ,2011-04-10,명성교회
277,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2011-03-27,명성교회
278,옷을 덮어준 사람들,주일예배,김삼환 목사 ,창 9:20-27 ,2011-03-13,명성교회
279,나는 예수 그리스도가 최고입니다,주일예배,김삼환 목사 ,고전 15:57-58 ,2011-02-27,명성교회
280,찬양드립니다,주일예배,김삼환 목사 ,시편 107:10-22 ,2011-02-13,명성교회
281,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2011-01-30,명성교회
282,"긍휼,사랑,용서 이보다 더 좋은 것은 없습니다",주일예배,김삼환 목사 ,마 18:21-35 ,2011-01-16,명성교회
283,이렇게 믿으십시오,주일예배,김삼환 목사 ,빌 3:7-14 ,2011-01-02,명성교회
284,이래서 전도하고 이래서 예수님 믿습니다,주일예배,김삼환 목사 ,눅 19:1-10 ,2010-12-19,명성교회
285,그리스도를 위해 사는 자유인,주일예배,김삼환 목사 ,고전 9:19-23 ,2010-12-05,명성교회
286,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2010-11-21,명성교회
287,복 받은 백성의 노래,주일예배,김삼환 목사 ,"시 144:1-4, 9-15 ",2010-11-07,명성교회
288,얍복강에서 부르는 감사의 노래,주일예배,김삼환 목사 ,창 32:22-32 ,2010-10-24,명성교회
289,예수님의 고향,주일예배,김삼환 목사 ,눅 4:16-30 ,2010-10-10,명성교회
290,예수님은 어떻게 사셨나,주일예배,김삼환 목사 ,요 13:12-17 ,2010-09-26,명성교회
291,성공적인 예배,주일예배,김삼환 목사 ,창 4:1-6 ,2010-09-12,명성교회
292,위기의 시대의 성도,주일예배,김삼환 목사 ,눅 19:11-26 ,2010-08-29,명성교회
293,손을 들자,주일예배,김삼환 목사 ,애 3:40-41 ,2010-08-15,명성교회
294,모인 곳에 풍성한 은혜,주일예배,김삼환 목사 ,눅 9:10-17 ,2010-08-01,명성교회
295,믿음의 보화,주일예배,김삼환 목사 ,사 33:6 ,2010-07-18,명성교회
296,금주에는 김삼환 목사님의 설교가 없습니다,주일예배, , ,2010-07-04,명성교회
297,오직 예수님뿐입니다,주일예배,김삼환 목사 ,요 15:1-8 ,2010-06-20,명성교회
298,금주에는 김삼환 목사님의 설교가 없습니다,주일예배, , ,2010-06-06,명성교회
299,성령이 오시리라,주일예배,김삼환 목사 ,행 1:6-8 ,2010-05-23,명성교회
300,은총의 길(2),주일예배,김삼환 목사 ,왕하 5:8-14 ,2010-05-09,명성교회
301,은총의 길,주일예배,김삼환 목사 ,왕하 5:1-14 ,2010-04-25,명성교회
302,하루 세 번씩 기도하세요,주일예배,김삼환 목사 ,시55:16-23 ,2010-04-11,명성교회
303,비아 돌로로사,주일예배,김삼환 목사 ,막 15:16-23 ,2010-03-28,명성교회
304,성도의 역할은 무엇인가,주일예배,김삼환 목사 ,엡 4:22-32 ,2010-03-14,명성교회
305,은혜받은 자의 세레모니,주일예배,김삼환 목사 ,"삼하 6:12-15, 20-23 ",2010-02-28,명성교회
306,미완성 그리스도인,주일예배,김삼환 목사 ,빌 3:12-14 ,2010-02-14,명성교회
307,주님은 마음을 보십니다,주일예배,김삼환 목사 ,엡 3:14-21 ,2010-01-31,명성교회
308,노아를 사모하는 사람들,주일예배,김삼환 목사 ,창 6:1-10 ,2010-01-17,명성교회
309,기도하는 집,주일예배,김삼환 목사 ,사 56:6-7 ,2010-01-03,명성교회
310,동방박사와 함께,주일예배,김삼환 목사 ,마 2:1-12 ,2009-12-20,명성교회
311,믿는 자가 누리는 은총,주일예배,김삼환 목사 ,롬 8:31-39 ,2009-12-06,명성교회
312,금주에는 김삼환 목사님의 설교가 없습니다,주일예배, , ,2009-11-22,명성교회
313,잘 살 수밖에 없는 사람,주일예배,김삼환 목사 ,"대상 29:26-30, 마 18:33-35 ",2009-11-08,명성교회
314,주께 감사드립니다,주일예배,김삼환 목사 ,시 118:19-29 ,2009-10-25,명성교회
315,문을 열어라,주일예배,김삼환 목사 ,계 3:14-22 ,2009-10-11,명성교회
316,이슬같은 은혜,주일예배,김삼환 목사 ,창 27:26-29 ,2009-09-27,명성교회
317,예수님께 끌려 온 여인,주일예배,김삼환 목사 ,요 8:1-11 ,2009-09-13,명성교회
318,조금 불편하면 어떻습니까,주일예배,김삼환 목사 ,빌 4:11-14 ,2009-08-30,명성교회
319,예수 믿는 사람은 무엇이 다른가,주일예배,김삼환 목사 ,삼하 9:6-13 ,2009-08-16,명성교회
320,하나님은 쉼을 주십니다,주일예배,김삼환 목사 ,"출 20:8-11, 막 6:31-32 ",2009-08-02,명성교회
321,부르짖으라 그리하면 승리하리라,주일예배,김삼환 목사 ,삼상 7:3-10 ,2009-07-19,명성교회
322,금주에는 김삼환 목사님의 설교가 없습니다,주일예배, , ,2009-07-05,명성교회
323,잘 사는 길을 선택하라,주일예배,김삼환 목사 ,"삼하 15:1-6, 잠 3:29-35 ",2009-06-21,명성교회
324,하나님은 그의 자녀를 형통케 하십니다,주일예배,김삼환 목사 ,"왕하 18:5-8, 요1 ",2009-06-07,명성교회
325,금주에는 김삼환 목사님의 설교가 없습니다,주일예배, , ,2009-05-24,명성교회
326,선한 투자,주일예배,김삼환 목사 ,고후 9:8-9 ,2009-05-10,명성교회
327,가장 소중한 복음,주일예배,김삼환 목사 ,행 20:17-28 ,2009-04-26,명성교회
328,예수님 다시 사셨다,주일예배,김삼환 목사 ,눅 24:1-7 ,2009-04-12,명성교회
329,오후 다섯 시,주일예배,김삼환 목사 ,마 20:6-16 ,2009-03-29,명성교회
330,예수님의 사랑,주일예배,김삼환 목사 ,롬 8:31-39 ,2009-03-15,명성교회
331,다윗 왕의 유산,주일예배,김삼환 목사 ,대상 28 :3-10 ,2009-03-01,명성교회
332,성소에서 도와주시는 하나님,주일예배,김삼환 목사 ,시 20 :1-9 ,2009-02-15,명성교회
333,기도자의 찬송,주일예배,김삼환 목사 ,시 28:1-9 ,2009-02-01,명성교회
334,새해에는 성공하십시오,주일예배,김삼환 목사 ,창 6:1-8 ,2009-01-18,명성교회
335,유다지파여 일어나라,주일예배,김삼환 목사 ,삿 1:1-2 ,2009-01-04,명성교회
336,금주에는 김삼환 목사님의 설교가 없습니다,주일예배, , ,2008-12-21,명성교회
337,아버지께로 돌아갑니다,주일예배,김삼환 목사 ,눅 15:11-24 ,2008-12-07,명성교회
338,예배와 함께 사는 성도,주일예배,김삼환 목사 ,요 4:23-24 ,2008-11-23,명성교회
339,제자되어 제자삼으라,주일예배,김삼환 목사 ,마 28:18-20 ,2008-11-09,명성교회
340,넘치는 감사,주일예배,김삼환 목사 ,고후 9:6-15 ,2008-10-26,명성교회
341,금주에는 김삼환 목사님의 설교가 없습니다,주일예배, , ,2008-10-12,명성교회
342,물 위를 걸어라,주일예배,김삼환 목사 ,마 14:22-33 ,2008-09-28,명성교회
343,이런 사람이 큰 일을 합니다.,주일예배,김삼환 목사 ,창세기 45:3-10 ,2008-09-14,명성교회
344,사랑의 능력,주일예배,김삼환 목사 ,요일 3:10-18 ,2008-08-31,명성교회
345,자유를 주신 하나님께 감사드립니다,주일예배,김삼환 목사 ,"요 8:34-36,갈 5:1 ",2008-08-17,명성교회
346,금주에는 김삼환 목사님의 설교가 없습니다,주일예배, , ,2008-08-03,명성교회
347,나사렛 사람 예수님,주일예배,김삼환 목사 ,눅 2:51 ,2008-07-20,명성교회
348,앞으로 나아가자,주일예배,김삼환 목사 ,민 14:1-9 ,2008-07-06,명성교회
349,천국은 여러분 안에 있습니다,주일예배,김삼환 목사 ,눅 17:20-21 ,2008-06-22,명성교회
350,금주에는 김삼환 목사님의 설교가 없습니다,주일예배, , ,2008-06-08,명성교회
351,관용하면 잘 됩니다,주일예배,김삼환 목사 ,고전 9:19-27 ,2008-05-25,명성교회
352,위대한 삶은 위대한 정신으로 부터,주일예배,김삼환 목사 ,갈 5:16-26 ,2008-05-11,명성교회
353,성령의 인도하심의 은총,주일예배,김삼환 목사 ,"엡 5:18, 벧 5:5-11 ",2008-04-27,명성교회
354,작은 믿음 큰 능력,주일예배,김삼환 목사 ,히 11:29-34 ,2008-04-13,명성교회
355,금주에는 김삼환 목사님의 설교가 없습니다,주일예배, , ,2008-03-30,명성교회
356,십자가를 자랑하는 사람들,주일예배,김삼환 목사 ,갈 6:14 ,2008-03-16,명성교회
357,오직 주님의 은혜입니다,주일예배,김삼환 목사 ,롬 5:1-11 ,2008-03-02,명성교회
358,일하는 사람이 잘 믿는 사람입니다,주일예배,김삼환 목사 ,살후 3:6-12 ,2008-02-17,명성교회
359,하나님만 의지하는 사람들,주일예배,김삼환 목사 ,시편 62:1-12 ,2008-02-03,명성교회
360,믿음보다 귀한 것은 없네,주일예배,김삼환 목사 ,히 11:1-12 ,2008-01-20,명성교회
361,일어나 걸어가라,주일예배,김삼환 목사 ,막 2:1-12 ,2008-01-06,명성교회
362,어떠한 삶이어야 하나?,주일예배,김삼환 목사 ,눅 7:18-23 ,2007-12-23,명성교회
363,주일(안식일)을 지키는 거룩한 백성들,주일예배,김삼환 목사 ,출 20:8-12 ,2007-12-09,명성교회
364,보화를 발견한 사람들,주일예배,김삼환 목사 ,마 13:44-46 ,2007-11-25,명성교회
365,자유인의 용기,주일예배,김삼환 목사 ,요 9:17-27 ,2007-11-11,명성교회
366,감사드립니다,주일예배,김삼환 목사 ,"사 51:1-3, 고후 9:·15 ",2007-10-28,명성교회
367,3관왕의 인생,주일예배,김삼환 목사 ,시편 16:8-11 ,2007-10-14,명성교회
368,르호보암에게서 배운다,주일예배,김삼환 목사 ,대하 11:1-4 ,2007-09-30,명성교회
369,이삭 줍는 자의 믿음,주일예배,김삼환 목사 ,룻기 2:1-7 ,2007-09-16,명성교회
370,예수님만 바라보는 삶,주일예배,김삼환 목사 ,히 12:1-2 ,2007-09-02,명성교회
371,깃발 날린 사람,주일예배,김삼환 목사 ,출 17:8-16 ,2007-08-19,명성교회
372,이 믿음의 사람을 보십시오,주일예배,김삼환 목사 ,단 3:24-30 ,2007-08-05,명성교회
373,490번의 용서,주일예배,김삼환 목사 ,마 18:21-35 ,2007-07-22,명성교회
374,뜨거워야 한다,주일예배,김삼환 목사 ,눅 24:13-32 ,2007-07-08,명성교회
375,기도하던 곳으로 돌아온 여자,주일예배,김삼환 목사 ,삼상 1:21-28 ,2007-06-24,명성교회
376,이웃 사촌,주일예배,김삼환 목사 ,눅 10:25-37 ,2007-06-10,명성교회
377,오직 성령이십니다,주일예배,김삼환 목사 ,사 1:8 ,2007-05-27,명성교회
378,행복은 정말 있는 것입니까?,주일예배,김삼환 목사 ,신 33:2-29 ,2007-05-13,명성교회
379,다윗왕의 말 한마디,주일예배,김삼환 목사 ,삼하 7:1-2 ,2007-04-29,명성교회
380,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배,김삼환 목사 , ,2007-04-15,명성교회
381,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배,김삼환 목사 , ,2007-03-04,명성교회
382,광야의 사람,주일예배,김삼환 목사 ,"마 3:1-4, 4:1-2 ",2007-02-18,명성교회
383,씨름하다가 복 받은 사람,주일예배,김삼환 목사 ,창세기 32:24-32 ,2007-02-04,명성교회
384,풍성한 열매,주일예배,김삼환 목사 ,요한복음 15:1-11 ,2007-01-21,명성교회
385,2007년을 예수님과 함께,주일예배,김삼환 목사 ,요한복음 2:1 - 11 ,2007-01-07,명성교회
