,제목,예배,설교자,본문,날짜,교회
56,만족함은 어디에서 오는가?,주일예배,김하나목사 ,시 63:1-7 ,2019-01-06,명성교회
57,예수님이 주시는 네 개의 기쁨,주일예배,김하나목사 ,마 2:1-12 ,2018-12-23,명성교회
58,지금은 버림의 시간입니다,주일예배,김하나목사 ,욘 1:4-10 ,2018-12-09,명성교회
59,SIGNS #5 거듭난그리스도인의 증거를 가지라,주일예배,김하나목사 ,요일 5:1-5 ,2018-12-02,명성교회
60,SIGNS #4 떡을 떼심으로,주일예배,김하나목사 ,눅 24:29-35 ,2018-11-25,명성교회
61,SIGNS #3 작은 구름이 큰 비가 되다,주일예배,김하나목사 ,왕상 18:41-46 ,2018-11-18,명성교회
62,SIGNS #2 보이지 않을 때의 믿음,주일예배,김하나목사 ,왕하 5:9-14 ,2018-11-11,명성교회
63,SIGNS #1징조를 아는 지혜를 얻으라,주일예배,김하나목사 ,벧전 4:7-11 ,2018-11-04,명성교회
64,최고 최대 최상의 감사,주일예배,김삼환 목사 ,고후 9:6-15 ,2018-10-28,명성교회
65,크신 하나님이 주시는 위로,주일예배,김하나목사 ,시 92:1-8 ,2018-10-14,명성교회
66,예수님을 사랑하는 만큼 커져간다,주일예배,김하나목사 ,엡 3:14-21 ,2018-10-07,명성교회
67,범인 베드로의 증언,주일예배,김삼환 목사 ,행 4:8-12 ,2018-09-30,명성교회
68,이방인 시대의 주역이 되자,주일예배,김삼환 목사 ,"행16:1-15,31-34 ",2018-09-23,명성교회
69,"교회, 성경은 살아있는 하나님의 선물이다",주일예배,김삼환 목사 ,"딤전3:14-16,딤후3:12-17 ",2018-09-16,명성교회
70,나중된 자의 은혜,주일예배,김하나목사 ,행 13:46-52 ,2018-09-02,명성교회
71,안식일에 일어난 사건,주일예배,김하나목사 ,요 9:1-7 ,2018-08-19,명성교회
72,예수를 깊이 생각하라,주일예배,김하나목사 ,히 3:1-6 ,2018-08-12,명성교회
73,얼마나 가깝습니까?,주일예배,김하나목사 ,마 11:2-6 ,2018-08-05,명성교회
74,평안하라 강건하라,주일예배,김하나목사 ,단 10:18-11:1 ,2018-07-29,명성교회
75,우리는 안디옥 교회를 꿈꾸며 산다,주일예배,김삼환 목사 ,행 11:19-30 ,2018-07-22,명성교회
76,함께 지어져 가느니라,주일예배,김하나목사 ,엡 2:16-22 ,2018-07-08,명성교회
77,왕이 보시는 것,주일예배,김하나목사 ,눅 19:11-17 ,2018-07-01,명성교회
78,열매는 땅에서 시작합니다,주일예배,김하나 목사 ,시 65:8-13 ,2018-06-24,명성교회
79,기쁨의 비결,주일예배,김하나목사 ,빌 4:10-16 ,2018-06-10,명성교회
80,나의 점수는 몇 점입니까,주일예배,김하나목사 ,마 7:7-12 ,2018-06-03,명성교회
81,알지 못하나,주일예배,김하나목사 ,롬 8:26-30 ,2018-05-27,명성교회
82,예수님이 주시는 마음,주일예배,김하나목사 ,요 14:25-31 ,2018-05-13,명성교회
83,금주에는 김하나 목사님의 설교가 없습니다.,주일예배, , ,2018-05-06,명성교회
84,기생의 집을 찾아온 손님,주일예배,김삼환 목사 ,수 2:1-14 ,2018-04-29,명성교회
85,예수님 언어 수업,주일예배,김하나목사 ,마 5:1-12 ,2018-04-15,명성교회
86,믿음이 피워내는 꽃,주일예배,김하나목사 ,약 3:1-6 ,2018-04-08,명성교회
87,갈릴리로 가라,주일예배,김하나 목사 ,마 28:5-10 ,2018-04-01,명성교회
88,"흘러야 하는 세 가지: 셋째,사랑과 희생의 피",주일예배,김하나 목사 ,마 26:26-30 ,2018-03-25,명성교회
89,"흘러야 하는 세 가지: 둘째, 위를 바라보는 성실, 땀",주일예배,김하나 목사 ,골 3:22-4:1 ,2018-03-18,명성교회
90,"흘러야 하는 세 가지: 첫째,네 눈물을 보았노라",주일예배,김하나목사 ,사 38:1-8 ,2018-03-11,명성교회
91,무익에서 유익으로,주일예배,김하나목사 ,몬 1:8-14 ,2018-02-25,명성교회
92,회복의 은혜(4):되찾음의 기쁨,주일예배,김하나 목사 ,눅 15:1-7 ,2018-02-18,명성교회
