,제목,예배,설교자,본문,날짜
183,내 이웃은 누구인가?,주일1부 이른예배,한국컴패션 대표 서정인 목사,누가복음 10:25-29,2018-12-09
184,내 이웃은 누구인가?,주일4부 뉴웨이브예배 실황,한국컴패션 대표 서정인 목사,누가복음 10:25-29,2018-12-09
185,내 이웃은 누구인가?,주일 3부예배,한국컴패션 대표 서정인 목사,누가복음 10:25-29,2018-12-09
186,가치 있는 삶,주일1부 이른예배,고대영 목사,마태복음 5:13,2018-12-02
187,베들레헴아 너는 가장 작지 아니 하도다,주일4부 뉴웨이브예배 실황,안만기 목사,마태복음 2:1-10,2018-12-02
188,나 자신도 사랑할 수 있어야 합니다,주일 3부예배,김승욱 목사,"마가복음 12:29-31 , 요한일서 4:19",2018-12-02
189,주의 손이 그들과 함께 하시매,주일1부 이른예배,윤현준 목사,사도행전 11:19-26,2018-11-25
190,교회 직분자들의 모습 : 관계의 성숙함,주일4부 뉴웨이브예배 실황,김승욱 목사,디모데전서 3:2-13,2018-11-25
191,교회 직분자들의 모습 : 관계의 성숙함,주일 2부예배,김승욱 목사,디모데전서 3:2-13,2018-11-25
192,우리 주 예수 그리스도의 교회,주일1부 이른예배,김승욱 목사,에베소서 2:20-22,2018-11-18
193,교회 직분자들의 모습 : 내면의 성숙함,주일4부 뉴웨이브예배 실황,김승욱 목사,디모데전서 3:2-13,2018-11-18
194,교회 직분자들의 모습 : 내면의 성숙함,주일 2부예배,김승욱 목사,디모데전서 3:2-13,2018-11-18
195,하나님의 집,주일4부 뉴웨이브예배 실황,김승욱 목사,디모데전서 3:14-15,2018-11-11
196,기대하게 하시는 하나님,주일1부 이른예배,한용기 목사,데살로니가전서 5:24-28,2018-11-11
197,하나님의 집,주일 3부예배,김승욱 목사,디모데전서 3:14-15,2018-11-11
198,돌보시는 하나님,주일1부 이른예배,김병건 목사,창세기 26:1-5,2018-11-04
199,영원한 생명을 누리는 삶,주일4부 뉴웨이브예배 실황,안만기 목사,베드로전서 3:13-17,2018-11-04
200,예수가 전부인 교회,주일 2부예배,서계원 목사,사도행전 2:36-47,2018-11-04
201,길 되신 예수님,주일1부 이른예배,서계원 목사,요한복음 14:6,2018-10-28
202,반드시 화목해야 하는 관계,주일4부 뉴웨이브예배 실황,김승욱 목사,요한복음 14:6,2018-10-28
203,반드시 화목해야 하는 관계,주일 3부예배,김승욱 목사,요한복음 14:6,2018-10-28
204,은혜의 사신들,주일1부 이른예배,김승욱 목사,에베소서 2:4-7,2018-10-21
205,은혜의 사신들,주일4부 뉴웨이브예배 실황,김승욱 목사,에베소서 2:4-7,2018-10-21
206,은혜의 사신들,주일 3부예배,김승욱 목사,에베소서 2:4-7,2018-10-21
207,선교적 영성,주일1부 이른예배,이병수 목사,창세기 28:15,2018-10-14
208,주 내게 부탁하신 일,주일4부 뉴웨이브예배 실황,김승욱 목사,"마태복음 28:18-20, 24:14",2018-10-14
209,주 내게 부탁하신 일,주일 2부예배,김승욱 목사,"마태복음 28:18-20, 24:14",2018-10-14
210,선교! 선교는 하나님의 마당 앞에서 벌어지는 잔치 입니다.,주일1부 이른예배,윤영근 목사,마태복음 22:1-14,2018-10-07
211,한 알의 밀알,주일4부 뉴웨이브예배 실황,안만기 목사,요한복음 12:20-26,2018-10-07
212,일어나라 빛을 발하라,주일 2부예배,김승욱 목사,이사야 60:1-3,2018-10-07
213,용서의 영역,주일1부 이른예배,이병수 목사,마태복음 18:35,2018-09-30
214,용서와 화해를 통해 이뤄지는 하나님 나라,주일4부 뉴웨이브예배 실황,김승욱 목사,창세기 50:18-26,2018-09-30
215,용서와 화해를 통해 이뤄지는 하나님 나라,주일 2부예배,김승욱 목사,창세기 50:18-26,2018-09-30
216,모퉁잇돌의 은총,주일1부 이른예배,김민수 목사,2018-09-23,
217,이 땅 고쳐주소서,주일 3부예배,김승욱 목사,역대하 7:14,2018-09-23
218,이 땅 고쳐주소서,주일4부 뉴웨이브예배 실황,김승욱 목사,역대하 7:14,2018-09-23
219,출애굽 여정의 교훈,주일1부 이른예배,유장옥 목사,민수기 33:1-5,2018-09-16
220,치유되고 변화되어,주일4부 뉴웨이브예배 실황,김승욱 목사,누가복음 19:1-10,2018-09-16
221,치유되고 변화되어,주일 3부예배,김승욱 목사,누가복음 19:1-10,2018-09-16
222,다시 근원으로... 오직 은혜,주일 1부 이른예배,고대영 목사,시편 42:1-5,2018-09-09
