,제목,예배,설교자,본문,날짜,교회
427,홍해입니까? 요단입니까?,-,김지현 목사,여호수아 3:7-13,2017-11-29,금란교회
428,위에 것을 소망하라,-,이승병목사,골로새서 3:1-2,2017-11-22,금란교회
429,그럼에도의 하나님 사랑,-,오성범목사,호세아 3:1-5,2017-11-15,금란교회
430,골리앗의 칼,-,최영익목사,사무엘상 21:8-13,2017-11-08,금란교회
431,엄마 이름은 한계가 있습니다,-,한인광목사,요한복음 14:12-14,2017-11-01,금란교회
432,우리의 연약함을 도우시니,-,나삼열목사,로마서 8:26-28,2017-10-25,금란교회
433,열매를 맺는 삶,-,김원식목사,마태복음 13:1-9,2017-10-18,금란교회
434,더 중요한 것들,-,한상필목사,마태복음 6:25,2017-10-11,금란교회
435,바른 추석,-,김기수목사,신명기 16:13-15,2017-10-04,금란교회
436,하나님이 관심있게 보시는 것,-,양희남목사,사무엘상 16:7,2017-09-20,금란교회
437,사막이 백합화 같이,-,박혜영목사,이사야 35:1-10,2017-09-13,금란교회
438,언약궤,-,윤승준목사,사무엘상 4:1-5,2017-09-06,금란교회
439,산 돌이신 예수 그리스도,-,김지현목사,베드로전서 2:1-5,2017-08-30,금란교회
440,다윗의 통치,-,조현석목사,역대상 14:2,2017-08-23,금란교회
441,복음을 잊지 말라,-,이승병목사,요한계시록 10:1-11,2017-08-16,금란교회
442,마음을 지키라,-,최영익목사,잠언 4:23,2017-08-09,금란교회
443,영적인 전쟁에 휴전은 없습니다.,-,오성범목사,베드로전서 5:8-9,2017-08-02,금란교회
444,배송 준비가 완료되었습니다,-,한인광 목사,빌립보서 4:6-7,2017-07-26,금란교회
445,감동이 있으십니까,-,나삼열 목사,누가복음 7:31-47,2017-07-19,금란교회
446,결단,-,김원식 목사,여호수아 24:14-16,2017-07-12,금란교회
447,이 세대를 본받지 말라,-,한상필목사,로마서 12:2,2017-07-05,금란교회
448,목적을 이루기 위하여,-,김기수목사,마가복음 2:1-5,2017-06-28,금란교회
449,구름 기둥과 불기둥,-,박혜영목사,출애굽기 13:17-22,2017-06-14,금란교회
450,광야 속에서,-,윤승준목사,마가복음 1:12-13,2017-06-07,금란교회
451,내일이 염려하게 하라,-,오성범목사,마태복음 6:25-34,2017-05-31,금란교회
452,하나님의 때를 아는 법,-,이승병목사,마가복음 5:21-43,2017-05-24,금란교회
453,세상 모든 민족 위에,-,조현석목사,신명기 28:1-6,2017-05-17,금란교회
454,부활의 주님을 만나라,-,최영익목사,요한복음 21:5-11,2017-05-10,금란교회
455,아직도 소망이 있나니 1,-,한인광목사,에스라 10:1-4,2017-05-03,금란교회
456,믿음의 사람,-,나삼열목사,요한복음 20:26-29,2017-04-26,금란교회
457,세상에서 그리스도인의 모습,-,김원식목사,빌립보서 2:1-11,2017-04-19,금란교회
458,십자가가 보여 주는것,-,한상필목사,히브리서 12:2,2017-04-12,금란교회
459,전도는 증인으로 사는 것,-,김기수목사,요한복음 4 : 39 - 42,2017-04-05,금란교회
460,예수님의 증언,-,양희남목사,마태복음 10:24-33,2017-03-29,금란교회
461,병든 신앙에서 회복하려면,-,박혜영목사,예레미야 2:4-13,2017-03-22,금란교회
462,물에 빠진 베드로,-,윤승준목사,마태복음 14:22-32,2017-03-15,금란교회
463,지금은 너희가 감당하지 못하리라,-,조현석목사,요한복음 16:12-15,2017-03-08,금란교회
464,승리하라,-,이승병목사,사사기 6:25-32,2017-02-22,금란교회
465,무엇을 위해 사는가?,-,최영익목사,로마서 14:8,2017-02-15,금란교회
466,무덤에 있은지 이미 나흘이라,-,한인광목사,요한복음 11:17,2017-02-08,금란교회
467,그 아들의 형상을 본 받으라,-,나삼열 목사,로마서8:26-29,2017-02-01,금란교회
468,내 마음을 정하였사오니,-,김원식 목사,시108:1-5,2017-01-25,금란교회
469,믿음의 부자가 되라,-,한상필 목사,히11:6,2017-01-18,금란교회
470,불을 전해 줍시다,-,김기수 목사,눅24:44-49,2017-01-04,금란교회
