,제목,본문,날짜,설교자,예배
728,"""야곱처럼, 에서처럼""(1:00:48)",호12:1-14,2013년06월30일,송태근,저녁예배
729,"""길고 긴 기다림""(56:14)",호11:1-12,2013년06월23일,송태근,저녁예배
730,"""묵은 땅을 기경하라""(40:15)",호10:12-15,2013년06월16일,송태근,저녁예배
731,두 마음(45:18),호세아10:1-8,2013년06월09일,송태근,저녁예배
732,다시는 사랑하지 아니하리라(51:58),호9:10-17,2013년05월19일,송태근,저녁예배
733,마땅히 행할 길(28:38),잠언22:6,2013년05월12일,송태근,저녁예배
734,기브아의 시대 같이(51:58),호9:1-9,2013년05월05일,송태근,저녁예배
735,왕궁과 성읍(34:34) 1,호8:1-7,2013년04월28일,송태근,저녁예배
736,달구어진 화덕(43:49) 3,호7:1-7,2013년04월14일,송태근,저녁예배
737,힘써 여호와를 알자(41:44) 1,호세아6:1-11,2013년04월07일,송태근,저녁예배
738,그 지식(34:26) 2,호4:11-19,2013년03월31일,송태근,저녁예배
739,세 가지가 없다(32:34),호4:1-5,2013년03월17일,송태근,저녁예배
740,은총으로 나아가라(48:07),호3:1-5,2013년03월10일,송태근,저녁예배
741,소망의 문(35:05),호2:14-15,2013년03월03일,송태근,저녁예배
742,2013 겨울선교 보고(01:10:08) 2,사도행전1:8,2013년02월24일,송태근,저녁예배
743,회복을 위한 세가지 조건(46:07),호2:1-9,2013년02월17일,송태근,저녁예배
744,고멜의 세 자녀(43:06),호1:1-9,2013년02월10일,송태근,저녁예배
745,오늘 택하라(46:04),수24:15-18,2013년02월03일,송태근,저녁예배
746,마지막 부탁(44:59),수23:1-3,2013년01월27일,송태근,저녁예배
747,증거의 단(39:29),수22:23-26,2013년01월20일,송태근,저녁예배
748,레위인의 삶(35:28),수21:41-45,2013년01월13일,송태근,저녁예배
749,피난처(40:17),수20:1-6,2013년01월06일,송태근,저녁예배
750,개척하라(30:15),수17:14-18,2012년12월30일,송태근,저녁예배
751,땅 분배에 나타난 하나님의 사랑(39:17),수15:13-19,2012년12월23일,송태근,저녁예배
752,시대의 역할(37:57),여호수아14:6-12,2012년12월09일,송태근,저녁예배
753,하나님이 기업이시다(29:18),여호수아13:6,2012년12월02일,송태근,저녁예배
754,"이 편, 저 편(43:07)",수12:1-6,2012년11월18일,송태근,저녁예배
755,전쟁이 그치다(39:23),수11:21-23,2012년10월28일,송태근,저녁예배
756,계속되어야 할 정복(17:11),수10:16-21,2012년10월21일,송태근,저녁예배
757,피하고 싶은 일 속에 섭리가 있다(42:37),수10:1-5,2012년10월14일,송태근,저녁예배
758,기브온과의 약속(40:36),수9:1-6,2012년10월07일,송태근,저녁예배
759,에발산 복음(35:57),수8:30-35,2012년9월30일,송태근,저녁예배
760,복병하라(40:06),수8:1-9,2012년9월23일,송태근,저녁예배
761,죄의 세가지 경로(43:51),수7:8-15,2012년9월16일,송태근,저녁예배
762,바쳐질 물건과 아이성 실패(55:07),여호수아7:1-7,2012년9월9일,송태근,저녁예배
763,평화를 선언하라(36:26),여호수아6:8-9,2012년8월26일,송태근,저녁예배
764,네 신을 벗으라(41:32),여호수아5:13-15,2012년8월19일,송태근,저녁예배
765,이 돌들이 무슨 뜻이냐?(45:03),여호수아4:1-9,2012년8월12일,송태근,저녁예배
766,마른땅의 은혜(35:38),여호수아강해(6)여호수아3:7-17,2012년8월5일,송태근,저녁예배
767,3일의 기다림이 갖는 의미(46:24),여호수아3:1-6,2012년7월29일,송태근,저녁예배
768,붉은 줄(41:41),여호수아2:12-24,2012년7월22일,송태근,저녁예배
769,기생과 스파이(58:27),여호수아2:1-7,2012년7월15일,송태근,저녁예배
770,요단을건널준비(39:00),여호수아1:10~18,2012년7월8일,송태근,저녁예배
771,점령인가 순종인가(31:33),여호수아1:8,2012년7월1일,송태근,저녁예배
772,자기의 소견에 옳은 대로’,사사기21:1-25,2020년07월22일,송태근,수요예배
773,의견과 방책을 내라’,사사기20:1-7,2020년07월15일,송태근,수요예배
774,'불량한 인생',사사기19:16-30,2020년07월08일,송태근,수요예배
775,'답이 없는 이스라엘',사사기19:1-10,2020년07월01일,송태근,수요예배
776,약육강식<弱肉强食>’,사사기18:21-31,2020년06월24일,송태근,수요예배
777,그때까지 기업을 분배 받지 못함’,사사기18:1-12,2020년06월17일,송태근,수요예배
778,미가의 집에 있는 레위인’,사사기17:1-13,2020년06월10일,송태근,수요예배
779,다시 자라는 삼손의 머리카락’,사사기16:23-31,2020년06월03일,송태근,수요예배
780,삼손의 힘의 비밀’,사사기16:1-9,2020년05월27일,송태근,수요예배
781,역사의 블랙 코미디’,사사기15:1-6,2020년05월20일,송태근,수요예배
782,삼손의 결혼(2)’,사사기14:1-10,2020년05월13일,송태근,수요예배
783,삼손의 결혼’,사사기14:1-9,2020년05월06일,송태근,수요예배
784,삼손과 출생의 비밀(2)’,사사기13:6-14,2020년04월29일,송태근,수요예배
785,삼손과 출생의 비밀(1)’,사사기13:1-5,2019년12월18일,송태근,수요예배
786,입다의 죽음’,사사기12:1-7,2019년12월11일,송태근,수요예배
787,입다’,사사기11:1-11,2019년12월04일,송태근,수요예배
788,사사 입다’,사사기10:1-18,2019년11월27일,송태근,수요예배
789,달의 몰락’,사사기9:22-29,2019년11월20일,송태근,수요예배
790,왕이 되라 하매’,사사기9:1-15,2019년11월13일,송태근,수요예배
791,왕이 되어 가는 기드온’,사사기8:22-35,2019년05월29일,송태근,수요예배
792,기드온 집의 올무’,사사기8:1-9,2019년05월22일,송태근,수요예배
793,항아리와 횃불 그리고 나팔’,사사기7:15-25,2019년05월15일,송태근,수요예배
794,삼백 용사’,사사기7:1-8,2019년05월08일,송태근,수요예배
795,세 번의 질문 세 번의 응답’,사사기6:11-18,2019년05월01일,송태근,수요예배
796,이스라엘이 또!’,사사기6:7-10,2019년04월24일,송태근,수요예배
797,드보라와 바락의 노래’,사사기5:1-7,2019년04월17일,송태근,수요예배
798,아! 드보라’,사사기4:1-10,2019년04월10일,송태근,수요예배
799,남겨진 사람들’,사사기3:1-6,2019년04월03일,송태근,수요예배
800,옆구리의 가시’,사사기2:1-5,2019년03월27일,송태근,수요예배
801,유다가 올라가라’,사사기1:1-7,2019년03월13일,송태근,수요예배
802,'사사기는 왜 기록 되었나?',사사기1:1-10,2019년03월06일,송태근,수요예배
803,'제자 삼으라',마태복음28:18-20,2016년03월09일,송태근,수요예배
804,"""그리스도안에서 완전한 자로 서라""(24:02)",골로새서1:28-29,2014년12월10일,송태근,수요예배
805,"""사울 왕국의 몰락""(37:18)",삼상31:1-6,2014년11월19일,송태근,수요예배
806,"""브솔 시냇가의 은혜""(47:11)",삼상30:21-31,2014년11월12일,송태근,수요예배
807,"""구별되어지는 다윗""(45:22)",삼상29:1-11,2014년11월12일,송태근,수요예배
808,"""신접한 여인""(56:58)",삼상28:3-14,2014년10월29일,송태근,수요예배
809,"""블레셋으로 망명""(46:56)",삼상27:1-12,2014년10월22일,송태근,수요예배
810,"""두 번째 만남""(54:08)",삼상26:1-25,2014년10월08일,송태근,수요예배
811,"""아비가일""(58:53)",삼상25:1-8,2014년10월01일,송태근,수요예배
812,"""사울의 옷 자락""(53:51)",삼상24:1-7,2014년09월24일,송태근,수요예배
813,"""다윗이 그일라를 구원하다""(43:44)",삼상23:1-14,2014년09월17일,송태근,수요예배
814,"""도엑의 고발""(48:26)",삼상22:11-23,2014년09월10일,송태근,수요예배
815,"""골리앗의 칼""(51:41)",삼상21:1-15,2014년09월03일,송태근,수요예배
816,"""다윗의 현실 인식""(48:58)",삼상20:3-4,2014년07월23일,송태근,수요예배
817,"""도망자 다윗""(41:42)",삼상19:8-16,2014년07월02일,송태근,수요예배
818,"""다윗과 요나단""(46:30)",삼상18:1-5,2014년06월25일,송태근,수요예배
819,"""사울과 다윗의 차이""(53:57) 3",삼상17:47,2014년06월18일,송태근,수요예배
820,"""평강을 위함이라""(44:53)",삼상16:1-5,2014년06월04일,송태근,수요예배
821,"""하나님의 뒤끝""(44:50)",삼상15:1-9,2014년05월14일,송태근,수요예배
822,"""요나단의 실수""(45:04)",삼상14:24-30,2014년05월07일,송태근,수요예배
823,"""기다리다 지쳐서""(47:15)",삼상13:8-15,2014년04월30일,송태근,수요예배
824,"""전환의 역사""(48:20)",삼상12:1-5,2014년04월23일,송태근,수요예배
825,"""나라를 새롭게 하라""(45:17)",삼상11:1-15,2014년04월16일,송태근,수요예배
826,"""사울왕""(47:25)",삼상10:1-9,2014년04월09일,송태근,수요예배
827,"""사무엘이 사울에게 기름 부음""(48:47)",삼상9:25-27,2014년04월02일,송태근,수요예배
828,"""왕을 버리고 왕을 구함""(43:28)",삼상8:1-9,2014년03월26일,송태근,수요예배
829,"""미스바의 부흥""(46:49)",삼상7:1-14,2014년03월19일,송태근,수요예배
830,"""돌아오는 언약궤""(46:25) 1",삼상6:1-9,2014년03월12일,송태근,수요예배
831,"""회고와 전망""(18:06)",마태복음9:35,2014년03월05일,송태근,수요예배
832,"""빼앗긴 언약궤""(51:34)",삼상5:1-5,2014년02월05일,송태근,수요예배
833,"""궤짝인가 언약궤인가?""(53:02)",삼상4:1-11,2014년01월29일,송태근,수요예배
834,"""하나님의 부르심""(57:45)",삼상3:10-21,2014년01월01일,송태근,수요예배
835,"""사무엘과 엘리의 두 아들""(47:35)",삼상2:18-21,2013년12월18일,송태근,수요예배
836,"""하나님과 소통하라""(45:48)",삼상1:1-15,2013년12월11일,송태근,수요예배
837,"""마라나타""(57:01)",고전16:15-24,2013년11월13일,송태근,수요예배
838,"""남자답게""(52:23)",고전16:13-18,2013년11월06일,송태근,수요예배
839,"""광대하고 유효한 문""(57:45)",고전16:5-9,2013년10월23일,송태근,수요예배
840,"""연보에 관하여""(01:01:52)",고전16:1-4,2013년10월16일,송태근,수요예배
841,"""성경대로""(45:40)",고전15:1-11,2013년10월09일,송태근,수요예배
842,"""여자는 교회에서 잠잠하라(?)""(55:49)",고전14:34-37,2013년10월02일,송태근,수요예배
843,"""사랑이 제일 낫더라""(01:05:48)",고전13:1-13,2013년09월25일,송태근,수요예배
844,"""성령과 방언""(54:25)",고전12:1-8,2013년09월18일,송태근,수요예배
845,"""성령과 은사""(54:27)",고전12:1-11,2013년09월11일,송태근,수요예배
846,"""성찬식에 나타난 공동체""(55:32)",고전11:17-34,2013년09월04일,송태근,수요예배
847,"""남자 머리, 여자 머리""(41:11)",고전11:1-16,2013년07월24일,송태근,수요예배
848,"""하나님의 영광을 위함이 무엇인가?""(49:29)",고전10:23-33,2013년07월17일,송태근,수요예배
849,"""주보다 강한 자""(52:24)",고전10:14-22,2013년06월26일,송태근,수요예배
850,"""감당할 시험""(50:41)",고전10:1-13,2013년06월19일,송태근,수요예배
851,상을 받도록 달음질하라(57:16),고전9:15-24,2013년06월12일,송태근,수요예배
852,권리(49:40),고전9:1-14,2013년05월15일,송태근,수요예배
853,우상과 제물(46:15),고전8:1-13,2013년05월08일,송태근,수요예배
854,결혼과 독신(3)(37:59),고전7:25-40,2013년05월01일,송태근,수요예배
855,결혼과 독신(2) (55:01),고전7:8-16,2013년04월24일,송태근,수요예배
856,결혼과 독신(1) (59:07),고전7:1-7,2013년04월17일,송태근,수요예배
857,성령의 전(50:51) 4,고전6:12-20,2013년04월10일,송태근,수요예배
858,송사하지 마라(55:49) 1,고전6:1-11,2013년04월03일,송태근,수요예배
859,세례란 무엇인가?(37:37),베드로전서3:21,2013년03월20일,송태근,수요예배
860,교회의 거룩성(59:09),고전5:1-7,2013년03월13일,송태근,수요예배
861,만물의 찌꺼기(56:38),고전4:9-13,2013년03월06일,송태근,수요예배
862,교회의 직분이란 무엇인가?(50:32),고전4:1-5,2013년02월27일,송태근,수요예배
863,공적(48:01),고전3:10-15,2013년02월20일,송태근,수요예배
864,하나님의 집(51:08),고전3:1-9,2013년02월06일,송태근,수요예배
865,성령과 지혜(46:09),고전2:1-16,2013년01월30일,송태근,수요예배
866,십자가의 도(47:50),고전1:18-31,2013년01월09일,송태근,수요예배
867,교회의 분쟁(54:02),고전1:10-17,2013년01월02일,송태근,수요예배
868,인사와 감사(49:34),고전1:1-9,2012년12월26일,송태근,수요예배
869,고린도교회-서론(50:51),고전1:1-9,2012년12월19일,송태근,수요예배
870,마지막 인사(33:14),빌립보서4:19-23,2012년12월12일,송태근,수요예배
871,배웠노라(55:30),빌립보서4:10-20,2012년12월05일,송태근,수요예배
872,관용(40:14),빌립보서4:4-7,2012년11월28일,송태근,수요예배
873,같은 마음을 품으라(51:54),빌립보서4:1-3,2012년11월21일,송태근,수요예배
874,시민권(46:24),빌립보서3:17-21,2012년11월14일,송태근,수요예배
875,부활의 권력(42:18),빌립보서3:9-16,2012년11월07일,송태근,수요예배
876,치매 걸린 개의 특징(48:47),빌립보서3:1-9,2012년10월31일,송태근,수요예배
877,기쁨도 연습하라(54:36),빌립보서3:1,2012년10월24일,송태근,수요예배
878,향수병(51:43),빌립보서2:19-30,2012년10월17일,송태근,수요예배
879,떨림으로 구원을 이루라(55:22),빌립보서2:12-18,2012년9월19일,송태근,수요예배
880,위대한 반전(52:47),빌립보서2:9-11,2012년9월12일,송태근,수요예배
881,낮아지심은(49:44),빌립보서2:5-8,2012년8월29일,송태근,수요예배
882,기쁨을 충만하게 하려면(48:19),빌립보서2:1-5,2012년8월22일,송태근,수요예배
883,복음에 합당한 생활이란(53:30),빌립보서1:27-30,2012년8월15일,송태근,수요예배
884,죽음의 세가지 유익(01:02:45),빌립보서1:15-21,2012년8월1일,송태근,수요예배
885,바울의 세가지 기도(58:29),빌립보서1:9-15,2012년7월25일,송태근,수요예배
886,착한일을 시작하신분(48:29),빌립보서1:3-11,2012년7월18일,송태근,수요예배
887,은혜와평강(46:34),빌립보서1:1~2,2012년7월11일,송태근,수요예배
