,제목,예배,설교자,본문,날짜,교회
363,신앙인의 큰 근심,주일예배,김경진 목사,"롬 9:1~3, 10:1~4",2014-06-01,소망교회
364,자기 영혼을 파는 사람들,주일예배,김지철 목사,왕상 21:20~21,2014-05-25,소망교회
365,"해야 할 말, 해서는 안될 말",주일예배,김지철 목사,삼하 6:16~23,2014-05-18,소망교회
366,"어머니의 신앙, 나의 신앙",주일예배,김지철 목사,딤후 1:3~8,2014-05-11,소망교회
367,지혜와 키가 자라가며,주일예배,김지철 목사,"눅 2:40, 52",2014-05-04,소망교회
368,“나의 나 된 것은 하나님의 은혜”,주일예배,김지철 목사,고전 15:3~11,2014-04-27,소망교회
369,어찌하여 죽은 자 가운데서 찾느냐?,주일예배,김지철 목사,눅 24:1~12,2014-04-20,소망교회
370,우리가 전한 것을 누가 믿었느냐?,주일예배,김지철 목사,사 53:1~6,2014-04-13,소망교회
371,정욕과 정결의 경계선에서 - 7대 죄악 7 ‘정욕’ -,주일예배,김지철 목사,삼하 13:10~14,2014-04-06,소망교회
372,탐식과 절제의 경계선에서 - 7대 죄악 6 ‘탐식’ -,주일예배,김지철 목사,눅 7:33~35,2014-03-30,소망교회
373,탐욕과 자족의 경계선에서 - 7대 죄악 5 ‘탐욕’ -,주일예배,김지철 목사,눅 12:16~21,2014-03-23,소망교회
374,나태와 근면의 경계선에서 - 7대 죄악 4 ‘나태’ -,주일예배,김지철 목사,마 25:24~30,2014-03-16,소망교회
375,분노와 인내의 경계선에서 - 7대 죄악 3 ‘분노’ -,주일예배,김지철 목사,욘 4:1~4,2014-03-09,소망교회
376,시기와 포용의 경계선에서,주일예배,김지철 목사,삼상 18:6~9,2014-03-02,소망교회
377,교만과 겸손의 경계선에서...,주일예배,김지철 목사,잠 16:18~20,2014-02-23,소망교회
378,말씀의 열매를 맺는 사람들,주일예배,김경진 목사,막 4:1~9,2014-02-16,소망교회
379,말씀의 열매를 맺는 사람들,주일예배,임성빈 목사,막 4:1~9,2014-02-16,소망교회
380,큰 용사에서 힘없는 자로!,주일예배,김지철 목사,삿 16:15~22,2014-02-09,소망교회
381,소심한 자에서 큰 용사로!,주일예배,김지철 목사,삿 6:11~16,2014-02-02,소망교회
382,믿음의 생명력을 갖게 하소서!,주일예배,김지철 목사,마 13:31~33,2014-01-26,소망교회
383,성령안에서 하나되게 하소서!,주일예배,김지철 목사,엡 4:1~6,2014-01-19,소망교회
384,성령으로 두려움을 이기게 하소서,주일예배,김지철 목사,요 14:25~27,2014-01-12,소망교회
385,지혜와 계시의 영을 주소서!,주일예배,김지철 목사,엡 1:17~19,2014-01-05,소망교회
386,2014년 신년예배 - 기도로 새롭게 하늘을 열라!,주일예배,김지철 목사,눅 3:21~22,2014-01-01,소망교회
387,우리가 살 날을 계수하게 하소서 - 성경주제 17 : 심판 -,주일예배,김지철 목사,시 90:3~12,2013-12-29,소망교회
388,2013년 성탄예배 - 땅에서는 평화,주일예배,김지철 목사,눅 2:8~14,2013-12-25,소망교회
389,생명을 잉태한 사람들의 복 - 성경주제 16 : 생명 -,주일예배,김지철 목사,눅 1:39~45,2013-12-22,소망교회
390,이 사람이 의롭다 - 성경주제 15 : 칭의 -,주일예배,김지철 목사,눅 18:9~14,2013-12-15,소망교회
391,"낮추기도, 높이기도 하시는 하나님 - 성경주제 14 : 하나님의 뒤집기 -",주일예배,김지철 목사,삼상 2:4~8,2013-12-08,소망교회
392,먼저 우리를 사랑하신 하나님 - 성경주제 13 : 사랑 -,주일예배,김지철 목사,신 7:6~11,2013-12-01,소망교회
393,우리를 위한 예수님의 죽음 - 성경주제 12 : 대속 -,주일예배,김지철 목사,고후 5:13~17,2013-11-24,소망교회
394,감사할 줄 아는 사람들 - 성경주제 11 : 감사 -,주일예배,김지철 목사,골 3:15~17,2013-11-17,소망교회
395,‘남은 고난’을 채우는 사람들 - 성경주제 10 : 고난 -,주일예배,김지철 목사,골 1:24~29,2013-11-10,소망교회
396,성령이 거하시는 몸 -성경주제 9 : 하나님의 임재-,주일예배,김지철 목사,고전 6:12~20,2013-11-03,소망교회
397,듣고 믿음으로! -성경주제 8 : 믿음-,주일예배,김지철 목사,갈 3:3~9,2013-10-27,소망교회
398,보이지 아니하는 분을 보는 것 같이 -성경주제 7 : 엑소더스-,주일예배,김지철 목사,히 11:23~27,2013-10-20,소망교회
399,상하고 통회하는 마음 -성경주제 6 : 회개-,주일예배,김지철 목사,시 51:10~17,2013-10-13,소망교회
400,미래와 희망을 주노라! -성경주제 5 : 희망-,주일예배,김지철 목사,렘 29:10~14,2013-10-06,소망교회
401,하나님을 섬기는가? 거짓 신을 섬기는가? -성경주제 4 : 거짓 신들-,주일예배,김지철 목사,롬 1:18~23,2013-09-29,소망교회
402,네 믿음이 너를 구원하였도다 -성경주제 3 : 기적-,주일예배,김지철 목사,눅 18:35~43,2013-09-22,소망교회
403,"예수님, 우리의 지혜 - 성경주제 2 : 지혜-",주일예배,김지철 목사,골 2:1~3,2013-09-15,소망교회
404,만물을 새롭게 하시는 하나님,주일예배,김지철 목사,계 21:1~8,2013-09-08,소망교회
405,나를 당신보다 먼저 보내셨나이다 -요셉이야기 10-,주일예배,김지철 목사,창 45:1~8,2013-09-01,소망교회
406,"요셉, 형들의 진심을 보다 -요셉이야기 9-",주일예배,김지철 목사,창 44:27~34,2013-08-25,소망교회
407,우리가 범죄하였도다 -요셉 이야기 8-,주일예배,김지철 목사,창 42:18~25,2013-08-18,소망교회
408,지도자의 복 -요셉 이야기 7-,주일예배,김지철 목사,창 41:37~45,2013-08-11,소망교회
409,기다림에서 성취로! -요셉 이야기 6-,주일예배,김지철 목사,창 41:9~25,2013-08-04,소망교회
410,해석은 하나님께! -요셉 이야기 5-,주일예배,김지철 목사,창 39:19~40:8,2013-07-28,소망교회
411,‘아니오’ 할 수 있는 용기 -요셉 이야기 4-,주일예배,김지철 목사,창 39:7~18,2013-07-21,소망교회
412,"축복의 통로, 요셉 -요셉 이야기 3-",주일예배,김지철 목사,창 39:1~6,2013-07-14,소망교회
413,꿈 꿀 수 없는 ‘꿈꾸는 자’ -요셉 이야기 2-,주일예배,김지철 목사,창 37:18~28,2013-07-07,소망교회
414,천방지축 요셉 -요셉 이야기 1-,주일예배,김지철 목사,창 37:1~11,2013-06-30,소망교회
415,예수님의 평화,주일예배,김지철 목사,시 85:8~13,2013-06-23,소망교회
416,오직 정의를 행하며,주일예배,김지철 목사,미 6:6~8,2013-06-16,소망교회
417,하나님보다 조금 못한 인간,주일예배,김지철 목사,시 8:1~9,2013-06-09,소망교회
418,나라를 위해 기도하는 사람들,주일예배,김지철 목사,단 9:16~19,2013-06-02,소망교회
419,"부부사랑, 복받는 가정의 기초",주일예배,김지철 목사,전 9:9,2013-05-26,소망교회
420,"성령, 청년의 영",주일예배,김지철 목사,욜 2:28~32,2013-05-19,소망교회
421,하나님 아버지와 인간 아버지,주일예배,김지철 목사,시 103:8~15,2013-05-12,소망교회
422,하나님과 사람에게 사랑스럽더라,주일예배,김지철 목사,"눅 2:40, 52",2013-05-05,소망교회
423,재물을 넘어서 - 부활을 산 사람들 4 -,주일예배,김지철 목사,행 18:1~4,2013-04-28,소망교회
424,편견을 넘어서 - 부활을 산 사람들 3 -,주일예배,김지철 목사,행 9:26~31,2013-04-21,소망교회
425,경계를 넘어서 - 부활을 산 사람들 2 -,주일예배,김지철 목사,행 8:26~40,2013-04-14,소망교회
426,죽음을 넘어서 - 부활을 산 사람들 1 -,주일예배,김지철 목사,행 7:51~60,2013-04-07,소망교회
427,"예수, 다시 살아나셨다",주일예배,김지철 목사,막 16:1~8,2013-03-31,소망교회
428,"예수, 물음 앞에 서시다",주일예배,김지철 목사,요 18:33~38,2013-03-24,소망교회
429,"예수, 담대히 나아가셨다",주일예배,김지철 목사,요 18:1~11,2013-03-17,소망교회
430,"예수, 심히 놀라시며 슬퍼하셨다",주일예배,김지철 목사,막 14:32~38,2013-03-10,소망교회
431,"예수, 홀로 외로운 길을 가셨다",주일예배,김지철 목사,마 8:18~22,2013-03-03,소망교회
432,"예수, 눈물을 흘리시다",주일예배,김지철 목사,눅 19:41~44,2013-02-24,소망교회
433,"예수, 불쌍히 여기시다",주일예배,김지철 목사,막 6:34,2013-02-17,소망교회
434,"예수, 잔치를 베푸시다",주일예배,김지철 목사,눅 7:33~35,2013-02-10,소망교회
435,"예수, 화를 내시다",주일예배,김지철 목사,막 3:1~6,2013-02-03,소망교회
436,오직 성령이 임하시면,주일예배,임성빈 목사,행 1:8,2013-01-27,소망교회
437,"예수, 성령으로 기뻐하신 분",주일예배,김지철 목사,눅 10:21~24,2013-01-20,소망교회
438,"예수, 하늘 문을 여신 분",주일예배,김지철 목사,마 3:13~16,2013-01-13,소망교회
439,"예수, 듣고 묻다",주일예배,김지철 목사,눅 2:41~52,2013-01-06,소망교회
440,2013 새해 첫 예배 - 예수님을 바라보라,주일예배,김지철 목사,히 12:1~3,2013-01-01,소망교회
441,"예수, 알파와 오메가",주일예배,김지철 목사,계 22:12~13,2012-12-30,소망교회
442,"2012 성탄예배 - 예수, 기쁨의 별",주일예배,김지철 목사,마 2:1~12,2012-12-25,소망교회
443,"예수, 우리와 함께 계시는 하나님",주일예배,김지철 목사,마 1:18~25,2012-12-23,소망교회
444,"예수, 기다려야 할 분",주일예배,김지철 목사,눅 2:25~33,2012-12-16,소망교회
445,"예수, 인간으로 오신 말씀",주일예배,김지철 목사,요 1:14,2012-12-09,소망교회
446,"예수, 하나님의 웃음",주일예배,김지철 목사,사 11:1~5,2012-12-02,소망교회
447,하나님의 친구가 된 사람,주일예배,김지철 목사,약 2:23~23,2012-11-25,소망교회
448,고난 중에 드리는 감사의 기도,주일예배,김지철 목사,욘 2:1~10,2012-11-18,소망교회
449,아버지의 마음으로 -하나님의 교회 9-,주일예배,김지철 목사,고전 4:14~21,2012-11-11,소망교회
450,오해 받거나 비판 받을때 -하나님의교회 8-,주일예배,김지철 목사,고전 4:1~5,2012-11-04,소망교회
451,그리스도인의 자유 -하나님의교회 7-,주일예배,김지철 목사,고전 3:18~23,2012-10-28,소망교회
452,그리스도인의 영적 분별력 -하나님의 교회 6-,주일예배,김지철 목사,고전 2:12~16,2012-10-21,소망교회
453,성령의 능력이 나타나는 교회 -하나님의 교회 5-,주일예배,김지철 목사,고전 2:1~5,2012-10-14,소망교회
454,오직 주님만을 자랑하는 교회 -하나님의교회 4-,주일예배,김지철 목사,고전 1:26~31,2012-10-07,소망교회
455,십자가의 복음 : 하나님의 능력 -하나님의 교회 3-,주일예배,김지철 목사,고전 1:18~25,2012-09-30,소망교회
456,십자가의 복음 : 하나님의 능력 -하나님의 교회 3-,주일예배,김지철 목사,고전 1:18~25,2012-09-30,소망교회
457,"같은 마음, 같은 뜻으로!",주일예배,김지철 목사,고전 1:10~17,2012-09-23,소망교회
458,거룩한 교회란?,주일예배,김지철 목사,고전 1:1~3,2012-09-16,소망교회
459,아버지 야곱의 위기 -야곱 이야기 11-,주일예배,김지철 목사,창 34:25~35:1,2012-09-09,소망교회
460,용서를 넘어 화해를 향해 -야곱 이야기10-,주일예배,김지철 목사,창 33:8~14,2012-09-02,소망교회
461,야곱에서 이스라엘로! -야곱이야기9-,주일예배,김지철 목사,창 32:22~29,2012-08-26,소망교회
462,내 발이 이르는 곳에 주님의 복이! -야곱 이야기 8-,주일예배,김지철 목사,창 30:25~31,2012-08-19,소망교회
463,사랑 때문에! -야곱 이야기 7-,주일예배,김지철 목사,창 29:13~20,2012-08-12,소망교회
464,나의 하나님이 되신 여호와여! -야곱 이야기 6-,주일예배,김지철 목사,창 28:16~22,2012-08-05,소망교회
465,나의 벧엘은? -야곱 이야기 5-,주일예배,김지철 목사,창 28:10~19,2012-07-29,소망교회
466,"“내 아들아, 네가 누구냐?” -야곱 이야기 4-",주일예배,김지철 목사,창 27:18~30,2012-07-22,소망교회
467,진정한 ‘나’를 찾아서 -야곱 이야기 3-,주일예배,김지철 목사,창 25:27~34,2012-07-15,소망교회
468,내 은혜가 네게 족하도다,주일예배,태원석 목사,고후 12:7~10,2012-07-08,소망교회
469,하나님의 뒤집기 -야곱 이야기 2-,주일예배,김지철 목사,창 25:21~26,2012-07-01,소망교회
470,아버지를 찾아서 -야곱 이야기 1-,주일예배,김지철 목사,창 47:7~10,2012-06-24,소망교회
471,하나님께만 경배하라,주일예배,김지철 목사,마 4:8~11,2012-06-17,소망교회
472,너의 하나님을 시험하지 말라,주일예배,김지철 목사,마 4:5~7,2012-06-10,소망교회
473,사람을 사람되게 하는 말씀,주일예배,김지철 목사,마 4:1~4,2012-06-03,소망교회
474,세상을 이기게 하시는 성령,주일예배,김지철 목사,눅 4:1~4,2012-05-27,소망교회
475,청년의 날을 기뻐하라,주일예배,김지철 목사,전 11:9~12:2,2012-05-20,소망교회
476,"또 부르고 싶은 이름, 어머니",주일예배,김지철 목사,요 19:25~27,2012-05-13,소망교회
477,어린이와 같이 되지 아니하면,주일예배,김지철 목사,마 18:1~6,2012-05-06,소망교회
478,믿음을 가로막는 편견,주일예배,김지철 목사,막 6:1~6,2012-04-29,소망교회
479,"더 많이, 더 크게",주일예배,김지철 목사,눅 12:16~21,2012-04-22,소망교회
480,나를 더 사랑하느냐? -예수님의 물음 13-,주일예배,김지철 목사,요 21:15~19,2012-04-15,소망교회
481,어찌하여 마음에 의심이 일어나느냐? -예수님의 물음 12-,주일예배,김지철 목사,눅 24:36~43,2012-04-08,소망교회
482,어찌하여 나를 버리셨나이까? -예수님의 물음 11-,주일예배,김지철 목사,마 27:45~46,2012-04-01,소망교회
483,네가 한 시간도 깨어 있을 수 없더냐? -예수님의 물음 10-,주일예배,김지철 목사,막 14:32~42,2012-03-25,소망교회
484,그 아홉은 어디 있느냐? -예수님의 물음 9-,주일예배,김지철 목사,눅 17:11~19,2012-03-18,소망교회
485,누가 아버지의 뜻대로 하였느냐? -예수님의 물음 8-,주일예배,김지철 목사,마 21:27~32,2012-03-11,소망교회
486,누가 강도 만난 자의 이웃이냐? -예수님의 물음 7-,주일예배,김지철 목사,눅 10:30~37,2012-03-04,소망교회
487,무슨 일로 다투었느냐? -예수님의 물음 6-,주일예배,김지철 목사,막 9:33~35,2012-02-26,소망교회
488,너희도 떠나가려느냐? -예수님의 물음 5-,주일예배,김지철 목사,요 6:66~71,2012-02-19,소망교회
489,어찌하여 무서워하느냐? -예수님의 물음 4-,주일예배,김지철 목사,막 4:35~41,2012-02-12,소망교회
490,나를 누구라 하느냐? -예수님의 물음 3-,주일예배,김지철 목사,마 16:13~20,2012-02-05,소망교회
491,네 눈의 들보는 보지 못하는가? -예수님의 물음 2-,주일예배,김지철 목사,마 7:1~5,2012-01-29,소망교회
492,무엇을 찾느냐? - 예수님의 질문 1 -,주일예배,김지철 목사,요 1:35~40,2012-01-22,소망교회
493,거룩한 열심인가? 이기적 탐심인가?,주일예배,김지철 목사,요 2:13~22,2012-01-15,소망교회
494,삶을 변화시키는 첫 걸음,주일예배,김지철 목사,막 1:35~39,2012-01-08,소망교회
495,내가 너를 기뻐하노라,주일예배,김지철 목사,눅 3:21~22,2012-01-01,소망교회
496,섬기는 자로 오신 예수님,주일예배,김지철 목사,눅 22:24~27,2011-12-25,소망교회
497,그리스도와 다윗,주일예배,김지철 목사,마 1:1~6,2011-12-18,소망교회
498,하나님의 말씀이 내 혀에!(다윗의생애12),주일예배,김지철 목사,삼하 23:1~7,2011-12-11,소망교회
499,다윗과 아들 압살롬(다윗의 생애11),주일예배,김지철 목사,삼하 18:28~33,2011-12-04,소망교회
500,다윗과 밧세바(다윗의 생애10),주일예배,김지철 목사,삼하 11:1~5,2011-11-27,소망교회
501,여기까지 인도하신 하나님(다윗의 생애9),주일예배,김지철 목사,삼하 7:18~29,2011-11-20,소망교회
502,다윗과 하나님의 법궤(다윗의 생애8),주일예배,김지철 목사,삼하 6:6~15,2011-11-13,소망교회
503,다윗의 애가(다윗의 생애7),주일예배,김지철 목사,삼하 1:23~27,2011-11-06,소망교회
504,오직 믿음으로!,주일예배,김지철 목사,롬 1:16~17,2011-10-30,소망교회
505,하나님으로부터 용기를 얻은 남자(다윗의 생애6),주일예배,김지철 목사,삼상 30:1~6,2011-10-23,소망교회
506,다윗과 아비가일,주일예배,김지철 목사,삼상 25:32~35,2011-10-16,소망교회
507,너는 나보다 의롭다(다윗의 생애 4),주일예배,김지철 목사,삼상 24:16~22,2011-10-09,소망교회
508,새 길을 닦는 사람들(교회 창립 34주년),주일예배,김지철 목사,사 58:12~12,2011-10-02,소망교회
509,다윗과 요나단 (다윗의 생애 3),주일예배,김지철 목사,삼상 18:1~5,2011-09-25,소망교회
510,거대한 장애물 앞에서(다윗의 생애 2),주일예배,김지철 목사,삼상 17:31~40,2011-09-18,소망교회
511,하나님이 사람을 택하실 때,주일예배,김지철 목사,삼상 16:1~13,2011-09-11,소망교회
512,마음이 완악해질 때,주일예배,김지철 목사,삼상 15:17~23,2011-09-04,소망교회
513,질투가 미움으로 바뀔 때,주일예배,김지철 목사,삼상 18:1~9,2011-08-28,소망교회
514,두려움이 다가올때,주일예배,김지철 목사,삼상 18:10~16,2011-08-21,소망교회
515,하나님을 기억하는 백성,주일예배,김지철 목사,신 8:11~20,2011-08-14,소망교회
516,새 힘을 주시는 하나님,주일예배,김지철 목사,사 40:27~31,2011-08-07,소망교회
517,네가 무엇을 원하느냐?,주일예배,김지철 목사,막 10:46~52,2011-07-31,소망교회
518,예수님의 이름으로 ‘에바다’!,주일예배,김지철 목사,막 7:31~37,2011-07-24,소망교회
519,네 이름이 무엇이냐?,주일예배,김지철 목사,막 5:1~20,2011-07-17,소망교회
520,"쉼의 날, 치유의 날",주일예배,김지철 목사,막 3:1~6,2011-07-10,소망교회
521,죄사함과 치유,주일예배,김지철 목사,막 2:1~12,2011-07-03,소망교회
522,손을 내밀어,주일예배,김지철 목사,막 1:40~45,2011-06-26,소망교회
523,나를 깨끗하게!,주일예배,김지철 목사,막 1:40~45,2011-06-19,소망교회
524,성령 : 영원한 동반자,주일예배,김지철 목사,요 14:15~18,2011-06-12,소망교회
525,고난이 닥쳐 올 때,주일예배,김지철 목사,벧전 4:12~16,2011-06-05,소망교회
526,인간지성과 복음이 만날 때,주일예배,김지철 목사,행 17:16~25,2011-05-29,소망교회
527,길을 찾는 사람들,주일예배,김지철 목사,요 14:5~11,2011-05-22,소망교회
528,배우고 교제하며 기도하다,주일예배,김지철 목사,행 2:42~47,2011-05-15,소망교회
529,주님을 기쁘시게 하는 것,주일예배,김지철 목사,골 3:20,2011-05-08,소망교회
530,지혜와 키가 자라가며,주일예배,김지철 목사,눅 2:52,2011-05-01,소망교회
531,“두려움과 큰 기쁨으로”,주일예배,김지철 목사,마 28:1~10,2011-04-24,소망교회
532,"예수, 가장 뛰어난 이름",주일예배,김지철 목사,빌 2:5~11,2011-04-17,소망교회
533,죄사함 받기를 기다리는 영혼,주일예배,김지철 목사,시 130:1~8,2011-04-10,소망교회
534,너는 주 안에서 빛이라!,주일예배,김지철 목사,엡 5:8~14,2011-04-03,소망교회
535,예수님을 닮아가는 교회,주일예배,김지철 목사,고전 10:30~11:1,2011-03-27,소망교회
536,영적 싸움을 승리하는 교회,주일예배,김지철 목사,시 27:1~6,2011-03-20,소망교회
537,이웃 사랑을 실천하는 교회,주일예배,김지철 목사,롬 13:8∼10,2011-03-13,소망교회
538,주님만을 증거하는 교회,주일예배,김지철 목사,마 9:35~38,2011-03-06,소망교회
539,나라 사랑하는 교회,주일예배,김지철 목사,렘 18:5~12,2011-02-27,소망교회
540,다음 세대를 양육하는 교회,주일예배,김지철 목사,신 4:9~14,2011-02-20,소망교회
541,주님 안에서 하나된 교회,주일예배,김지철 목사,롬 12:3~8,2011-02-13,소망교회
542,말씀위에 선 교회,주일예배,김지철 목사,고전 2:1~5,2011-02-06,소망교회
543,예수님이 주인되시는 교회,주일예배,김지철 목사,고전 8:5~7,2011-01-30,소망교회
544,소망은 주님께 있습니다.,주일예배,서정운 목사,시 39:3~7,2011-01-23,소망교회
545,오직 말씀위에 서는 공동체,주일예배,임성빈 목사,"전 5:1~3, 딤후 3:12~17",2011-01-16,소망교회
546,참되게 예배하는 공동체,주일예배,주승중 목사,전 5:1~7,2011-01-16,소망교회
547,애통하는 공동체,주일예배,주승중 목사,마 5:4,2011-01-09,소망교회
548,애통하는 공동체,주일예배,임성빈 목사,마 5:4,2011-01-09,소망교회
549,기초를 다시 쌓는 사람들,주일예배,김지철 목사,사 58:9~12,2011-01-02,소망교회
550,우리의 대제사장이신 예수님,주일예배,김지철 목사,히 2:14~3:1,2010-12-26,소망교회
551,말 없는 순종,주일예배,김지철 목사,마 1:18~25,2010-12-19,소망교회
552,말씀을 마음에 새기라,주일예배,김지철 목사,신 6:4~9,2010-12-12,소망교회
553,영적인 광야경험,주일예배,김지철 목사,마 3:1~10,2010-12-05,소망교회
554,이 시대를 분별하라!,주일예배,김지철 목사,롬 13:11~14,2010-11-28,소망교회
555,감사드림이 곧 나의 제물,주일예배,김지철 목사,시 50:7~15,2010-11-21,소망교회
556,치료하는 광선을 비추리니,주일예배,김지철 목사,말 3:16~4:3,2010-11-14,소망교회
557,살아있는 자의 하나님,주일예배,김지철 목사,눅 20:27~40,2010-11-07,소망교회
558,거짓 예배인가? 참된 예배인가?,주일예배,김지철 목사,사 1:10~18,2010-10-31,소망교회
559,주의 집에 사는 자들의 복,주일예배,김지철 목사,시 84:1~7,2010-10-24,소망교회
560,하나님을 새롭게 알아가기,주일예배,김지철 목사,렘 31:31~34,2010-10-17,소망교회
561,하나님의 사건을 일으키는 순종,주일예배,김지철 목사,왕하 5:8~14,2010-10-10,소망교회
562,생수의 강이 성전에서 흘러 바다로!,주일예배,김지철 목사,겔 47:1~12,2010-10-03,소망교회
563,너 하나님의 사람아!,주일예배,김지철 목사,딤전 6:11~12,2010-09-26,소망교회
564,하나님을 경외하는 자의 복,주일예배,김지철 목사,시 128:1~6,2010-09-19,소망교회
565,하나님의 인간 바꾸기,주일예배,김지철 목사,딤전 1:12~17,2010-09-12,소망교회
566,생명과 복을 택하라!,주일예배,김지철 목사,신 30:15~20,2010-09-05,소망교회
567,감사 찬양하는 사람들,주일예배,김지철 목사,"느 12:27~31, 43~44",2010-08-29,소망교회
568,자원하는 사람들의 복,주일예배,김지철 목사,느 11:1~2,2010-08-22,소망교회
569,역사를 보는 영적 통찰,주일예배,김지철 목사,느 9:28~33,2010-08-15,소망교회
570,단절의 아픔을 넘어서,주일예배,김지철 목사,느 9:1~6,2010-08-08,소망교회
571,말씀의 영적 소프트웨어,주일예배,김지철 목사,"느 8:1~3, 8~12",2010-08-01,소망교회
572,거룩한 뒷심,주일예배,김지철 목사,느 6:1~9,2010-07-25,소망교회
573,건강한 신앙공동체의 회복,주일예배,김지철 목사,느 5:1~13,2010-07-18,소망교회
574,비판의 장벽을 넘어서기,주일예배,김지철 목사,"느 4:1~6, 15~20",2010-07-11,소망교회
575,패배주의를 극복하는 리더십,주일예배,김지철 목사,느 2:11~20,2010-07-04,소망교회
576,사람의 마음을 움직인 지혜,주일예배,김지철 목사,느 2:1~10,2010-06-27,소망교회
577,하나님의 마음을 움직인 기도,주일예배,김지철 목사,느 1:4~11,2010-06-20,소망교회
578,아픔속에 태어난 지도자,주일예배,김지철 목사,느 1:1~5,2010-06-13,소망교회
579,"제사장 나라, 거룩한 백성",주일예배,김지철 목사,출 19:1~6,2010-06-06,소망교회
580,"가르치는 영, 배우는 영",주일예배,김지철 목사,고전 2:9~16,2010-05-30,소망교회
581,성령과 청년,주일예배,김지철 목사,행 10:38,2010-05-23,소망교회
582,사랑의 하나됨,주일예배,김지철 목사,요 17:20~26,2010-05-16,소망교회
583,네 부모를 즐겁게 하라,주일예배,김지철 목사,잠 23:25,2010-05-09,소망교회
584,자녀에게 신앙을 전승하라!,주일예배,김지철 목사,시 78:1~8,2010-05-02,소망교회
585,나와 아버지는 하나,주일예배,김지철 목사,요 10:22~30,2010-04-25,소망교회
586,“주여 누구시니이까?”,주일예배,김지철 목사,행 9:1~9,2010-04-18,소망교회
587,너희와 항상 함께 있으리라,주일예배,김지철 목사,마 28:16~20,2010-04-11,소망교회
588,부활의 첫 열매,주일예배,김지철 목사,고전 15:19~26,2010-04-04,소망교회
589,예수님의 침묵,주일예배,김지철 목사,눅 23:1~12,2010-03-28,소망교회
590,사랑과 시기,주일예배,김지철 목사,요 12:1~8,2010-03-21,소망교회
591,"복되도다, 허물의 사함을 받은 자여!",주일예배,김지철 목사,시 32:1~7,2010-03-14,소망교회
592,회개를 기다리시는 하나님,주일예배,김지철 목사,눅 13:1~9,2010-03-07,소망교회
593,눈물의 영성을 지닌 사람,주일예배,김지철 목사,빌 3:17~4:1,2010-02-28,소망교회
594,즐거워 할 이유,주일예배,김지철 목사,신 26:1~11,2010-02-21,소망교회
595,자유하게 하는 영,주일예배,김지철 목사,고후 3:12~18,2010-02-14,소망교회
596,인생의 전환점,주일예배,김지철 목사,눅 5:1~11,2010-02-07,소망교회
597,보는 눈과 듣는 귀,주일예배,김지철 목사,눅 4:21~30,2010-01-31,소망교회
598,진정한 변화의 원동력,주일예배,김지철 목사,느 8 : 1~12,2010-01-24,소망교회
599,가득 채워지는 은혜,주일예배,김지철 목사,요 2 : 1~11,2010-01-17,소망교회
600,너는 내 것이라,주일예배,김지철 목사,사 43:1~7,2010-01-10,소망교회
601,슬픔에서 기쁨에로!,주일예배,김지철 목사,렘 31:7~14,2010-01-03,소망교회
602,에벤에셀의 하나님,주일예배,김지철 목사,삼상 7:12~17,2009-12-27,소망교회
603,‘함께’ 하시려는 열망,주일예배,김지철 목사,마 1:18~25,2009-12-20,소망교회
604,영혼을 해부하는 힘,주일예배,김지철 목사,히 4 :12 ~ 13,2009-12-13,소망교회
605,인간의 역사를 꿰뚫고,주일예배,김지철 목사,마 1:1 ~ 17,2009-12-06,소망교회
606,주의 길을 준비하는 자,주일예배,김지철 목사,눅 1 : 5 ~ 17,2009-11-29,소망교회
607,아침 햇빛 같은 사람,주일예배,김지철 목사,삼하 23:1 ~ 7,2009-11-22,소망교회
608,감사함으로 받으라,주일예배,김지철 목사,딤전 4:1 ~ 5,2009-11-15,소망교회
609,바른 태도가 신앙의 척도이다,주일예배,김지철 목사,막 12:38 ~ 44,2009-11-08,소망교회
610,통분의 눈물,주일예배,김지철 목사,요 11:32 ~ 44,2009-11-01,소망교회
611,오직 주님만 자랑하라,주일예배,김지철 목사,렘 9:23 ~ 24,2009-10-25,소망교회
612,때를 따라 돕는 은혜,주일예배,김지철 목사,히 4:14 ~ 16,2009-10-18,소망교회
613,질그릇에 담긴 보배,주일예배,김지철 목사,고후 4:7 ~ 11,2009-10-11,소망교회
614,우리가 무엇이기에?!,주일예배,김지철 목사,시 8:1 ~ 9,2009-10-04,소망교회
615,영혼을 깨우는 말씀,주일예배,김지철 목사,시 19:7 ~ 11,2009-09-27,소망교회
616,낮은 곳에 임하는 은혜,주일예배,김지철 목사,약 4:5 ~ 10,2009-09-20,소망교회
617,예수님은 우리에게 누구신가?,주일예배,김지철 목사,막 8:27 ~ 38,2009-09-13,소망교회
618,하나님께 소망을 두라,주일예배,김지철 목사,시 146:1 ~ 10,2009-09-06,소망교회
619,이것이 사는 길이다,주일예배,김지철 목사,신 4:1 ~ 8,2009-08-30,소망교회
620,믿음의 갈림길에서,주일예배,김지철 목사,요 6:60 ~ 71,2009-08-23,소망교회
621,듣는 마음이 리더십이다,주일예배,김지철 목사,왕상 3:4 ~ 13,2009-08-16,소망교회
622,여호와 보시기에 악하였더라,주일예배,김지철 목사,삼하 12:1 ~ 10,2009-08-02,소망교회
623,무신론적 사고를 타파하라,주일예배,김지철 목사,시 14:1 ~ 7,2009-07-26,소망교회
