,제목,예배,설교자,본문,날짜,교회
176,"슬픔의 영, 기쁨의 영? - 성령과 악령 16 -",주일예배,김지철 목사,시 30:5~12,2017-10-08,소망교회
177,"예수, 우리의 자랑!",주일예배,김지철 목사,갈 6:14~17,2017-10-01,소망교회
178,"교만의 영, 겸손의 영? - 성령과 악령 15 -",주일예배,김지철 목사,빌 2:3~5,2017-09-24,소망교회
179,"우매의 영, 지혜의 영? - 성령과 악령 14 -",주일예배,김지철 목사,마 7:24~29,2017-09-17,소망교회
180,"군림의 영, 섬김의 영? - 성령과 악령 13 -",주일예배,김지철 목사,막 10:42~45,2017-09-10,소망교회
181,아름다운 사람들,주일예배,서정운 목사,롬 10:13~15,2017-09-03,소망교회
182,아름다운 사람들,주일예배,윤희창 목사,롬 10:13~15,2017-09-03,소망교회
183,아름다운 사람들,주일예배,김성기 목사,롬 10:13~15,2017-09-03,소망교회
184,아름다운 사람들,주일예배,이재한 목사,롬 10:13~15,2017-09-03,소망교회
185,"더러움의 영, 거룩함의 영? - 성령과 악령 12 -",주일예배,김지철 목사,막 7:18~23,2017-08-27,소망교회
186,"배반의 영, 충성의 영? - 성령과 악령 11 -",주일예배,김지철 목사,막 14:43~50,2017-08-20,소망교회
187,"억압의 영, 해방의 영? - 성령과 악령 10 -",주일예배,김지철 목사,눅 4:16~21,2017-08-13,소망교회
188,은혜에서 은혜로,주일예배,안교성 목사,고전 15:3~10,2017-08-06,소망교회
189,은혜에서 은혜로,주일예배,강영롱 목사,고전 15:3~10,2017-08-06,소망교회
190,은혜에서 은혜로,주일예배,윤환 목사,고전 15:3~10,2017-08-06,소망교회
191,"체념의 영, 수용의 영? - 성령과 악령 9 -",주일예배,김지철 목사,막 14:32~38,2017-07-30,소망교회
192,"혼돈의 영, 창조의 영? - 성령과 악령 8 -",주일예배,김지철 목사,잠 8:22~31,2017-07-23,소망교회
193,"불안의 영, 평안의 영? - 성령과 악령 7 -",주일예배,김지철 목사,롬 14:15~18,2017-07-16,소망교회
194,"어둠의 영, 빛의 영? - 성령과 악령 6 -",주일예배,김지철 목사,요 1:1~5,2017-07-09,소망교회
195,"무지의 영, 깨달음의 영? - 성령과 악령 5 -",주일예배,김지철 목사,고전 2:12~16,2017-07-02,소망교회
196,"죽임의 영, 살림의 영? - 성령과 악령 4 -",주일예배,김지철 목사,롬 7:4~6,2017-06-25,소망교회
197,"분열의 영, 하나됨의 영? - 성령과 악령 3 -",주일예배,김지철 목사,엡 4:1~4,2017-06-18,소망교회
198,"미혹의 영, 진리의 영? - 성령과 악령 2 -",주일예배,김지철 목사,요일 4:1~6,2017-06-11,소망교회
199,“진리의 성령이 오실 때에”,주일예배,김지철 목사,요 15:26~27,2017-06-04,소망교회
200,"가정, 축복의 베이스 캠프",주일예배,김지철 목사,시 68:3~6,2017-05-28,소망교회
201,"자유자로 이끄시는 스승, 예수!",주일예배,김지철 목사,요 8:31~36,2017-05-21,소망교회
202,“네 부모를 공경하라!”,주일예배,김지철 목사,신 5:16,2017-05-14,소망교회
